points/segment = 2000
x-axis,signal1,signal2
second,Volt,Volt
-1.25600E-03,+29.49800E-03,+3.30542565E+00
-1.20650E-03,+25.41851E-03,+3.30542565E+00
-1.15700E-03,+25.31390E-03,+3.30542565E+00
-1.10750E-03,+25.31390E-03,+3.30490263E+00
-1.05800E-03,+25.31390E-03,+3.30542565E+00
-1.00850E-03,+28.55658E-03,+3.30542565E+00
-959.00E-06,+29.49800E-03,+3.30657627E+00
-909.50E-06,+26.67374E-03,+3.30678548E+00
-860.00E-06,+29.49800E-03,+3.30699468E+00
-810.50E-06,+29.49800E-03,+3.30542565E+00
-761.00E-06,+25.31390E-03,+3.30542565E+00
-711.50E-06,+25.31390E-03,+3.30542565E+00
-662.00E-06,+25.31390E-03,+3.30124155E+00
-612.50E-06,+29.49800E-03,+3.30542565E+00
-563.00E-06,+26.67374E-03,+3.30542565E+00
-513.50E-06,+25.31390E-03,+3.30124155E+00
-464.00E-06,+26.25533E-03,+3.30542565E+00
-414.50E-06,+26.04612E-03,+3.30197376E+00
-365.00E-06,+25.31390E-03,+3.30490263E+00
-315.50E-06,+25.31390E-03,+3.30155535E+00
-266.00E-06,+25.31390E-03,+3.30124155E+00
-216.50E-06,+25.31390E-03,+3.30124155E+00
-167.00E-06,+21.44361E-03,+3.30155535E+00
-117.50E-06,+25.31390E-03,+3.30490263E+00
-68.00E-06,+25.31390E-03,+3.30469343E+00
-18.50E-06,+25.31390E-03,+3.30218297E+00
+31.00E-06,+25.31390E-03,+3.30124155E+00
+80.50E-06,+26.67374E-03,+3.30542565E+00
+130.00E-06,+26.88294E-03,+3.30124155E+00
+179.50E-06,+27.09215E-03,+3.30124155E+00
+229.00E-06,+27.30135E-03,+3.30322899E+00
+278.50E-06,+27.51056E-03,+3.30124155E+00
+328.00E-06,+27.71976E-03,+3.30364740E+00
+377.50E-06,+22.69884E-03,+3.30124155E+00
+427.00E-06,+25.31390E-03,+3.30124155E+00
+476.50E-06,+25.31390E-03,+3.30124155E+00
+526.00E-06,+25.31390E-03,+3.30218297E+00
+575.50E-06,+24.58169E-03,+3.30124155E+00
+625.00E-06,+24.79089E-03,+3.30490263E+00
+674.50E-06,+25.31390E-03,+3.30124155E+00
+724.00E-06,+25.31390E-03,+3.30542565E+00
+773.50E-06,+25.31390E-03,+3.30124155E+00
+823.00E-06,+25.31390E-03,+3.30155535E+00
+872.50E-06,+25.31390E-03,+3.30490263E+00
+922.00E-06,+21.86202E-03,+3.30469343E+00
+971.50E-06,+21.12980E-03,+3.30542565E+00
+1.02100E-03,+25.31390E-03,+3.30542565E+00
+1.07050E-03,+25.31390E-03,+3.30678548E+00
+1.12000E-03,+25.31390E-03,+3.30281058E+00
+1.16950E-03,+25.31390E-03,+3.30364740E+00
+1.21900E-03,+25.31390E-03,+3.30542565E+00
+1.26850E-03,+25.31390E-03,+3.30542565E+00
+1.31800E-03,+25.31390E-03,+3.30364740E+00
+1.36750E-03,+25.31390E-03,+3.30542565E+00
+1.41700E-03,+25.31390E-03,+3.30678548E+00
+1.46650E-03,+22.28043E-03,+3.30542565E+00
+1.51600E-03,+25.31390E-03,+3.30542565E+00
+1.56550E-03,+28.76579E-03,+3.30542565E+00
+1.61500E-03,+29.49800E-03,+3.30542565E+00
+1.66450E-03,+25.31390E-03,+3.30124155E+00
+1.71400E-03,+25.31390E-03,+3.30542565E+00
+1.76350E-03,+25.31390E-03,+3.30134615E+00
+1.81300E-03,+25.31390E-03,+3.30542565E+00
+1.86250E-03,+25.31390E-03,+3.30176456E+00
+1.91200E-03,+25.31390E-03,+3.30469343E+00
+1.96150E-03,+29.49800E-03,+3.30542565E+00
+2.01100E-03,+29.49800E-03,+3.30542565E+00
+2.06050E-03,+28.13817E-03,+3.30824991E+00
+2.11000E-03,+29.49800E-03,+3.30542565E+00
+2.15950E-03,+29.49800E-03,+3.30542565E+00
+2.20900E-03,+27.30135E-03,+3.30542565E+00
+2.25850E-03,+27.51056E-03,+3.30542565E+00
+2.30800E-03,+27.09215E-03,+3.30542565E+00
+2.35750E-03,+29.49800E-03,+3.30542565E+00
+2.40700E-03,+29.49800E-03,+3.30542565E+00
+2.45650E-03,+25.31390E-03,+3.30542565E+00
+2.50600E-03,+25.31390E-03,+3.30448422E+00
+2.55550E-03,+25.31390E-03,+3.30542565E+00
+2.60500E-03,+29.49800E-03,+3.30490263E+00
+2.65450E-03,+29.49800E-03,+3.30542565E+00
+2.70400E-03,+25.31390E-03,+3.30124155E+00
+2.75350E-03,+25.31390E-03,+3.30532104E+00
+2.80300E-03,+29.49800E-03,+3.30124155E+00
+2.85250E-03,+25.83692E-03,+3.30542565E+00
+2.90200E-03,+29.49800E-03,+3.30124155E+00
+2.95150E-03,+29.49800E-03,+3.30124155E+00
+3.00100E-03,+25.31390E-03,+3.30124155E+00
+3.05050E-03,+29.49800E-03,+3.30542565E+00
+3.10000E-03,+27.92897E-03,+3.30542565E+00
+3.14950E-03,+27.09215E-03,+3.30124155E+00
+3.19900E-03,+29.49800E-03,+3.30542565E+00
+3.24850E-03,+27.30135E-03,+3.30542565E+00
+3.29800E-03,+29.49800E-03,+3.30542565E+00
+3.34750E-03,+29.49800E-03,+3.30281058E+00
+3.39700E-03,+25.31390E-03,+3.30542565E+00
+3.44650E-03,+26.46453E-03,+3.30427502E+00
+3.49600E-03,+25.31390E-03,+3.30218297E+00
+3.54550E-03,+25.31390E-03,+3.30469343E+00
+3.59500E-03,+29.49800E-03,+3.30124155E+00
+3.64450E-03,+25.62771E-03,+3.30124155E+00
+3.69400E-03,+25.41851E-03,+3.30542565E+00
+3.74350E-03,+29.39340E-03,+3.30542565E+00
+3.79300E-03,+29.18420E-03,+3.30511184E+00
+3.84250E-03,+29.49800E-03,+3.30542565E+00
+3.89200E-03,+25.31390E-03,+3.30469343E+00
+3.94150E-03,+25.31390E-03,+3.30542565E+00
+3.99100E-03,+25.31390E-03,+3.30124155E+00
+4.04050E-03,+29.49800E-03,+3.30542565E+00
+4.09000E-03,+27.92897E-03,+3.30542565E+00
+4.13950E-03,+27.09215E-03,+3.30542565E+00
+4.18900E-03,+27.51056E-03,+3.30542565E+00
+4.23850E-03,+27.30135E-03,+3.30542565E+00
+4.28800E-03,+25.31390E-03,+3.30542565E+00
+4.33750E-03,+25.31390E-03,+3.30124155E+00
+4.38700E-03,+25.31390E-03,+3.30406581E+00
+4.43650E-03,+25.31390E-03,+3.30542565E+00
+4.48600E-03,+25.31390E-03,+3.30448422E+00
+4.53550E-03,+25.31390E-03,+3.30124155E+00
+4.58500E-03,+25.31390E-03,+3.30176456E+00
+4.63450E-03,+21.12980E-03,+3.30124155E+00
+4.68400E-03,+25.31390E-03,+3.30532104E+00
+4.73350E-03,+21.23441E-03,+3.30532104E+00
+4.78300E-03,+25.62771E-03,+3.30124155E+00
+4.83250E-03,+21.65282E-03,+3.30176456E+00
+4.88200E-03,+25.31390E-03,+3.30469343E+00
+4.93150E-03,+25.31390E-03,+3.30218297E+00
+4.98100E-03,+25.31390E-03,+3.30542565E+00
+5.03050E-03,+25.31390E-03,+3.30542565E+00
+5.08000E-03,+25.31390E-03,+3.30542565E+00
+5.12950E-03,+25.31390E-03,+3.30542565E+00
+5.17900E-03,+25.31390E-03,+3.30124155E+00
+5.22850E-03,+29.49800E-03,+3.30124155E+00
+5.27800E-03,+27.71976E-03,+3.30542565E+00
+5.32750E-03,+26.88294E-03,+3.30542565E+00
+5.37700E-03,+25.31390E-03,+3.30824991E+00
+5.42650E-03,+25.31390E-03,+3.30542565E+00
+5.47600E-03,+25.31390E-03,+3.30542565E+00
+5.52550E-03,+25.31390E-03,+3.30542565E+00
+5.57500E-03,+25.83692E-03,+3.30542565E+00
+5.62450E-03,+25.31390E-03,+3.30542565E+00
+5.67400E-03,+25.41851E-03,+3.30542565E+00
+5.72350E-03,+25.41851E-03,+3.30134615E+00
+5.77300E-03,+25.31390E-03,+3.30542565E+00
+5.82250E-03,+25.31390E-03,+3.30176456E+00
+5.87200E-03,+25.31390E-03,+3.30542565E+00
